Varna International Airport,3
Burgas Airport,4
Sofia Airport,2
Lviv Danylo Halitskyi International Airport,4
Kiev Boryspil International Airport,3
Rotterdam The Hague Airport,4
Amsterdam Airport Schiphol ,5
Tirana International Airport Nënë Tereza,3
Faro Airport,3
Madeira Cristiano Ronaldo Airport,2
Lisbon Portela Airport,4
Porto Francisco Sá Carneiro International Airport,3
Luxembourg Airport,4
Cluj Avram Iancu International Airport,2
Sibiu International Airport,5
Timisoara Traian Vuia International Airport,4
Bucharest Henri Coanda International Airport,4
Grenoble-Isère Airport,3
Nantes Atlantique Airport,3
Bastia Poretta Airport,3
Lille Airport,3
Bordeaux Airport,3
Toulouse-Blagnac Airport,5
Marseille Provence Airport,5
Nice Côte d'Azur Airport,4
Strasbourg International Airport,2
Paris-Orly Airport,4
Paris Charles de Gaulle Airport,6
Lyon-Saint Exupéry Airport,3
Münster Osnabrück International Airport,2
Paderborn/Lippstadt Airport,3
Zweibrücken Airport,2
Rostock-Laage Airport,3
City Airport Bremen,6
Dresden International Airport,3
Leipzig/Halle Airport,3
Nuremberg Airport,6
Bodensee Airport Friedrichshafen,4
Sylt (Westerland) Airport,3
Cologne Bonn Airport,3
Stuttgart Airport,7
Düsseldorf Airport,5
Hamburg Airport,5
Munich Airport,4
Berlin-Tegel Airport,3
Frankfurt Airport,7
Hannover Airport,5
Dalaman Airport,3
Izmir Adnan Menderes Airport,6
Antalya Airport,2
Ankara Esenboga International Airport,2
Istanbul Airport,3
Istanbul Sabiha Gökçen International Airport,1
Sarajevo International Airport,4
Chisinau International Airport,2
Shannon Airport,4
Cork Airport,3
Dublin Airport,5
Billund Airport,4
Copenhagen Airport,3
Zadar Airport,2
Split Airport,4
Dubrovnik Airport,3
Zagreb Airport,3
Innsbruck Airport,3
Graz Airport,3
Blue Danube Airport Linz,4
Vienna International Airport,4
Salzburg Airport,3
Rhodes Diagoras International Airport,3
Corfu Ioannis Kapodistrias International Airport,4
Heraklion International Airport - Nikos Kazantzakis,4
Kos Island International Airport,2
Mykonos Airport,4
Chania International Airport,4
Thessaloniki International Airport,3
Athens Eleftherios Venizelos International Airport,3
Gdansk Lech Walesa Airport,1
Rzeszow-Jasionka Airport,4
Katowice International Airport,2
Poznan-Lawica Airport,4
Wrocław-Copernicus Airport,3
Cracow John Paul II International Airport,3
Warsaw Chopin Airport,4
Jerez Airport,1
Adolfo Suárez Madrid-Barajas Airport,6
Seville San Pablo Airport,3
Barcelona Airport,4
Federico García Lorca Granada-Jaén Airport,4
Malaga Airport,5
Bilbao Airport,4
Valencia Airport,4
Fuerteventura Airport,3
Gran Canaria Airport,3
Tenerife Sur Airport,3
Lanzarote Airport,3
Alicante-Elche Airport,2
Ibiza Airport,5
Menorca Airport,3
Palma de Mallorca Airport,4
Sochi International Airport,3
Irkutsk Airport,3
Vladivostok Airport,3
Ekaterinburg Koltsovo Airport,1
Samara Kurumoch International Airport,1
Strigino Nizhny Novgorod International Airport,2
St Petersburg Pulkovo Airport,3
Moscow Sheremetyevo International Airport,3
Moscow Domodedovo International Airport,2
Moscow Vnukovo International Airport,3
Paphos International Airport,5
Larnaca International Airport,1
Bergen Airport,4
Oslo Airport,6
Stavanger Airport,3
Catania Fontanarossa Airport,4
Olbia Costa Smeralda Airport,6
Cagliari Elmas Airport,3
Marche Airport (Ancona Falconara Airport),4
Bari Karol Wojtyła Airport,5
Genova (Genoa) Cristoforo Colombo Airport,5
Trieste - Friuli Venezia Giulia Airport,3
Naples International Airport,1
Florence Airport,2
Pisa International Airport Galileo Galilei,4
Milan Linate Airport,4
Milan Malpensa Airport,6
Verona Villafranca Airport,6
Rome Ciampino Airport,4
Rome Leonardo da Vinci Fiumicino Airport,1
Palermo Falcone-Borsellino Airport,3
Turin Caselle Airport,5
Bologna Guglielmo Marconi Airport,3
Venice Marco Polo Airport,5
Minsk National Airport,3
Malta International Airport,2
Keflavík International Airport,4
Ljubljana Joze Pucnik Airport,2
Bern-Belp Airport,3
EuroAirport Basel-Mulhouse-Freiburg,4
Zurich Airport,6
Geneva International Airport,5
Vilnius Airport,3
Prague Airport,4
Isle of Man Airport,3
Inverness Airport,4
Aberdeen International Airport,6
Edinburgh Airport,3
Glasgow Airport,5
Bristol Airport,5
Norwich International Airport,3
East Midlands Airport,5
Birmingham Airport,5
Manchester Airport,5
Liverpool John Lennon Airport,3
Southampton Airport,4
London City Airport,4
London Gatwick Airport,5
London Heathrow Airport,6
London Luton Airport,4
London Stansted Airport,4
London Southend Airport,3
Newcastle International Airport,4
Leeds Bradford International Airport,3
Jersey Airport,5
George Best Belfast City Airport,4
Belfast International Airport,3
Cardiff Airport,3
