The blog isWorld Travel Guide DevelopmentCurrent site: World Travel Guide Development
Blog ID: 1
Blog Lang: en
Import File: /var/www/columbus-xml/source-data/cities-full-en.xml


 Title, Type, Latitude, Longitude, Address1, Address2, City, Postcode, Website,  Telephone,  Description
 Rembrandt Hotel, Moderate, 44.432364, 26.100103, , Smardan 11, Bucharest, , http://rembrandt.ro,  +40 21 313 9315,  <p>This classy  intimate boutique hotel  tucked amongst some of the finest Paris-style buildings of the city centre  has 16 smart rooms with wood floors  high-speed internet  and wonderful views. Rates include breakfast in the mezzanine cafe.</p>
 Crazy Duck Hostel, Cheap, 44.439661, 26.083676, , Strada Știrbei Vodă 130, Bucharest, , http://www.crazyduckhostel.com/,  +40 743 667 477,  <p>A modern hostel suitable for travellers who want a clean but cheap place to rest the night. You can choose a private room that comes with cable TV and a private bathroom  or a dormitory unit that is clean and functional. It's about 12 minutes' walk from the Eroilor metro station but you can rent a bicycle at the reception.</p>
 Duke Hotel, Moderate, 44.446628, 26.096277, , Bulevardul Dacia 33, Bucharest, , http://www.hotelduke.ro/,  +40 21 317 4186,  <p>A short walk from Piata Romana and the metro station of the same name  this 3-star hotel offers spacious and clean rooms  plus free Wi-Fi. The breakfast may not be well-received by some guests but Piata Romana is flanked by a wide range of cafes and restaurants.</p>
 Hotel Razvan, Cheap, 44.432548, 26.124515, , Calea Călărași 159, Bucharest, , https://hotelrazvan.com/,  +40 21 320 0173,  <p>This 3-star hotel is convenient if you know how to navigate Bucharest by bus  as it is not near to a metro station. The rooms are modern and spacious  and have a private bathroom with shower. The hotel also offers transfer to Otopeni International Airport.</p>
 Formenerg, Cheap, 44.415243, 26.106003, , Bulevardul Gheorghe Șincai 3, Bucharest, , ,  +40 21 306 9900,  <p>The Hostel Formenerg is located next to the Tineretului metro  bus and tram station and is a good value accommodation option also offering a restaurant  fitness area and free Wi-Fi. All 52 rooms are air-conditioned and feature a private bathroom including a hairdryer  a refrigerator and a TV. Typical Romanian food  plus international fare  are served in the &agrave;-la-carte restaurant.</p>
 Radisson Blu Hotel, Luxury, 44.441466, 26.094285, , Calea Victoriei 63-81, Bucharest, , https://www.radissonblu.com/en/hotel-bucharest,  +40 21 311 9000,  <p>A stones throw from the Atheneum in the heart of Bucharest  the 5-Star Radisson Blu Hotel offers guests an all mod con experience. This 487-room business hotel  complete with indoor and outdoor pools  international restaurants  jogging track  meeting rooms and Wi-Fi throughout  is a great base from which to explore the city.</p>
 Hotel Opera, Moderate, 44.436933, 26.094388, , Strada Ion Brezoianu 37, Bucharest, , http://www.hotelopera.ro,  +40 21 312 4855,  <p>Centrally located hotel with a stylish atmosphere. The 33 rooms are rather small  but all en suite with air conditioning  hair dryer  satellite and cable TV  high-speed Internet access  mini-bar and coffee-making facilities. Good value for money.</p>
 Hotel Epoque, Luxury, 44.436752, 26.086961, , Intrarea Aurora 17C, Bucharest, , http://www.hotelepoque.ro,  +40 21 312 32 32,  <p>A deluxe boutique hotel a short walk from Cismigiu Park in central Bucharest  Hotel Epoque offers a variety of rooms and suites. The elegant exterior hides a modern interior design  and coupled with great service its design has led to the hotel being listed among the best in the country.</p>
 Casa Capsa, Luxury, 44.435425, 26.098108, , Calea Victoriei 36, Bucharest, , http://www.capsa.ro,  +40 21 313 4038,  <p>A hangout for poets before World War II  the 30-room Capsa plays up its 150-year history  with sparkling chandeliers and baroque furnishings. Rooms are elegant  with dark-wood walls  antique armoires  tall ceilings and all mod cons. Downstairs  a pastry shop sells traditional homemade sweets.</p>
 Athenee Palace Hilton, Luxury, 44.440980, 26.095585, , Episcopiei 1-3, Bucharest, , http://www3.hilton.com,  +40 21 303 3777,  <p>Facing the Royal Palace (now the National Art Museum) in the centre  the Athenee is Bucharest's most famous and storied hotel  involving spies from both sides during WWII. It's a grand business hotel now  with 272 modern carpeted rooms with all the amenities business travellers will need. In summer  the outside terrace is a great place for a light meal or mixed drink.</p>
 Hôtel Le Versailles, Cheap, 43.732755, 7.418355, , 4-6 avenue Prince Pierre, La Condamine, , http://www.hotel-le-versailles-monaco.hotels-french-riviera-reservation.com,  +377 9350 7934.,  <p>It isn't particularly inexpensive  but it's cheap for Monaco. Situated a few minutes of the Palais Princier  the Hôtel Le Versailles offers basic accommodation in a convenient location in La Condamine at the foot of Monaco-Ville. This 2-star also has a restaurant that serves French and Italian cuisine.</p>
 Hôtel Villa Boeri, Cheap, 43.744004, 7.427826, , 29 boulevard Général Leclerc, Beausoleil, , http://www.hotelboeri.com,  +33 4 9378 3810.,  <p>Cross the road to Hôtel Villa Boeri and you also cross the border from Monaco to France. Yet despite being in a different country  the hotel is fairly centrally located with the Casino Square about 10 minutes away on foot. Some rooms have small terraces with partial sea views.</p>
 Monte-Carlo Beach Hotel, Luxury, 43.757808, 7.473754, Monte Carlo Beach, Avenue Princesse Grace, Roquebrune-Cap-Martin, , http://www.monte-carlo-beach.com,  +33 4 9328 6666.,  <p>Away from the bustle of Monte Carlo's busy Casino Square is the Beach Hotel  a 5-star resort overlooking the Mediterranean. This luxury hotel was legendary in the 1930s  attracting high society from across the globe  and has retained its contemporary comforts. Guests can also benefit from a heated seawater swimming pool  stunning views and exceptional gastronomy.</p>
