organisationid,companyname,EntryType,ProductType,productid,productname,producername,awardname,winecolour,tastingcategory,tastingnotes,alcoholpercentage,countryname,organisationaddressid,contactid,categoryreference,categorysubtype,orderproductref,orderrefid,eventrefid,,Spirit type/ grape
105221,Chateau de Sandemagnan,On Line,Spirits,10206380,Blanche d'Armagnac ,Chateau de Sandemagnan,Bronze,,Blanche d'Armagnac,,43.5,France,205551,10206376,15e(i),Armagnac,19027,3836,22,,Blanche d'Armagnac
10135842,PALMS GmbH,On Line,Spirits,10195283,PALMS Premium Arrak,PALMS GmbH,Silver,,Arrak,,40,Germany,10135843,10135844,34d,Asian Spirits,17434,3479,22,,Arrak
10197460,Norbert Karasek,On Line,Spirits,10197467,Karasek Vogelbeere,Norbert Karasek,Gold Outstanding,,,,43,Austria,10197461,10197462,20b(iv),Fruit Spirits,17859,3549,22,,N/A
103887,Camus Cognac,On Line,Spirits,10206359,Kweichow82.4 MoutaI Small  Batch Blend,Camus La Grande Marque SA,Silver,,,,53,China,204155,504642,35a,Misc Spirits,19462,3915,22,,N/A
10176877,Distillerie Fils du Roy (QC) inc.,On Line,Spirits,10176884,La Courailleuse,Distillerie Fils du Roy,Silver,,Absinthe - Verte - 55-72%,,72,Canada,10176878,10176879,14b,Absinthe,12617,2735,22,,Absinthe
10138621,JÄDRANS,On Line,Spirits,10200223,Quarantaine Absinthe Verte de Thor Wallgren,JÄDRANS,Silver,,Absinthe - Verte - 55-72%,,55,Sweden,10138622,10138623,14b,Absinthe,18099,3609,22,,Absinthe
109849,Hammer & Son Ltd,On Line,Spirits,10191414,Rådhus Akvavit,Hammer & Son Ltd,Bronze,,Aquavit - Clear,,40,Denmark,210514,511856,16a,Aquavit,16850,3320,22,,Aquavit
100865,Arcus AS,On Line,Spirits,10201498,Malteserkreuz Malteser Aquavit,Arcus AS,Gold,,Aquavit - Clear,,40,Denmark,10141019,10141020,16a,Aquavit,18689,3736,22,,Aquavit
100865,Arcus AS,On Line,Spirits,10201501,Aalborg Jule Aquavit 2016,Arcus AS,Silver,,Aquavit - Clear,,47,Denmark,10141019,10141020,16a,Aquavit,18680,3736,22,,Aquavit
100865,Arcus AS,On Line,Spirits,10201504,Aalborg Taffel Aquavit,Arcus AS,Silver,,Aquavit - Clear,,45,Denmark,10141019,10141020,16a,Aquavit,18682,3736,22,,Aquavit
100865,Arcus AS,On Line,Spirits,10201505,Aalborg Jubilæums Aquavit,Arcus AS,Silver,,Aquavit - Golden,,40,Denmark,10141019,10141020,16b,Aquavit,18679,3736,22,,Aquavit
10004217,Braunstein Destillery,On Line,Spirits,10206370,Braunstein Dild Snaps,Braunstein Destillery,Silver,,Aquavit - Clear,,40,Denmark,10004219,10004221,16a,Aquavit,19126,3837,22,,Aquavit
10142898,Erste Maennerhobby GmbH & Co. KG,On Line,Spirits,10166599,Kaland,Erste Maennerhobby GmbH & Co. KG,Silver,,Aquavit - Clear,,40,Germany,10142899,10142900,16a,Aquavit,11211,2346,22,,Aquavit
114402,Pabst & Richarz Vertriebs GmbH,On Line,Spirits,10187382,Gylden Akvavit,Pabst & Richarz Vertriebs GmbH,Gold Outstanding,,Aquavit - Golden,,40,Germany,216223,10145332,16b,Aquavit,15948,3148,22,,Aquavit
10133815,KIMERUD AS,On Line,Spirits,10197421,Håvaldsen Aquavit,KIMERUD AS,Bronze,,Aquavit - Golden,,40,Norway,10133816,10133817,16b,Aquavit,17897,3559,22,,Aquavit
100865,Arcus AS,On Line,Spirits,10201495,Lysholm LINIE Aquavit,Arcus AS,Gold,,Aquavit - Golden,,41.5,Norway,10141019,10141020,16b,Aquavit,18686,3736,22,,Aquavit
100865,Arcus AS,On Line,Spirits,10201496,Lysholm LINIE Double Cask Aquavit Madeira,Arcus AS,Silver,,Aquavit - Golden,,41.5,Norway,10141019,10141020,16b,Aquavit,18687,3736,22,,Aquavit
100865,Arcus AS,On Line,Spirits,10201497,Lysholm LINIE Double Cask Aquavit Port,Arcus AS,Silver,,Aquavit - Golden,,41.5,Norway,10141019,10141020,16b,Aquavit,18688,3736,22,,Aquavit
100865,Arcus AS,On Line,Spirits,10201500,Gammel Opland Aquavit,Arcus AS,Silver Outstanding,,Aquavit - Golden,,41.5,Norway,10141019,10141020,16b,Aquavit,18684,3736,22,,Aquavit
100913,Armagnac Castarède SA,On Line,Spirits,10177425,Armagnac Castarede 1979,Armagnac Castarède SA,Silver,,Armagnac - Bas Armagnac - 1989 - 1979,,40,France,200988,501143,15d(i),Armagnac,13078,2667,22,,Armagnac
10001622,Marussia Beverages,On Line,Spirits,10178468,Clos Martin Armagnac 1989,Marussia Beverages,Bronze,,Armagnac - Bas Armagnac - 1989 - 1979,,40,France,10178464,10178465,15d(i),Armagnac,13921,2821,22,,Armagnac
10001622,Marussia Beverages,On Line,Spirits,10178470,Clos Martin Armagnac XO,Marussia Beverages,Bronze,,Armagnac - Bas Armagnac - XO,,40,France,10178464,10178465,15c(i),Armagnac,13920,2821,22,,Armagnac
10025483,Château du Tariquet SCV,On Line,Spirits,10185822,Château du Tariquet Bas-Armagnac VSOP,Château du Tariquet SCV,Silver,,Armagnac - Bas Armagnac - VSOP,,40,France,10025484,10001950,15b(i),Armagnac,15574,3101,22,,Armagnac
10025483,Château du Tariquet SCV,On Line,Spirits,10185828,Château du Tariquet Folle Blanche 8 YO,Château du Tariquet SCV,Gold Outstanding,,Armagnac - 8 Year Old - Cask Strength 50%,,50.5,France,10025484,10001950,15b(i),Armagnac,15579,3101,22,,Armagnac
10025483,Château du Tariquet SCV,On Line,Spirits,10185829,Château du Tariquet Le Légendaire XO,Château du Tariquet SCV,Silver,,Armagnac - Bas Armagnac - XO,,42,France,10025484,10001950,15c(i),Armagnac,15586,3101,22,,Armagnac
10025483,Château du Tariquet SCV,On Line,Spirits,10185830,Château du Tariquet Bas-Armagnac 1995,Château du Tariquet SCV,Silver Outstanding,,Armagnac - Bas Armagnac - Vintage 1998 - 1995,,45.8,France,10025484,10001950,15d(i),Armagnac,15587,3101,22,,Armagnac
10025483,Château du Tariquet SCV,On Line,Spirits,10185832,Château du Tariquet Folle Blanche 15 YO,Château du Tariquet SCV,Silver,,Armagnac - Bas Armagnac - 12 - 15 YO,,47.2,France,10025484,10001950,15c(i),Armagnac,15583,3101,22,,Armagnac
10025483,Château du Tariquet SCV,On Line,Spirits,10185833,Château du Tariquet Folle Blanche XO 12 YO,Château du Tariquet SCV,Silver,,Armagnac - Bas Armagnac - 12 - 15 YO,,48.2,France,10025484,10001950,15c(i),Armagnac,15581,3101,22,,Armagnac
107952,Emporia Brands Ltd,On Line,Spirits,10192090,Marquis Reserve Armagnac,SPA,Silver,,Armagnac - VSOP,,40,France,208500,509565,15b(i),Armagnac,16896,3310,22,,Armagnac
107952,Emporia Brands Ltd,On Line,Spirits,10192092,Lauvia Reserve Armagnac,SPA,Bronze,,Armagnac - VSOP,,40,France,208500,509565,15b(i),Armagnac,16895,3310,22,,Armagnac
107952,Emporia Brands Ltd,On Line,Spirits,10192093,Marquis Extra Old Armagnac XO,SPA,Silver,,Armagnac - XO,,40,France,208500,509565,15c(i),Armagnac,16894,3310,22,,Armagnac
107952,Emporia Brands Ltd,On Line,Spirits,10192094,Lauvia Hors d'Age Armagnac,SPA,Bronze,,Armagnac - Bas Armagnac - Hors d'Age,,40,France,208500,509565,15c(i),Armagnac,16893,3310,22,,Armagnac
107952,Emporia Brands Ltd,On Line,Spirits,10192099,Sainsbury's Taste the Difference Armagnac 12YO,Emporia Brands Ltd,Silver,,Armagnac - Bas Armagnac - 12 - 15 YO,,40,France,208500,509565,15c(i),Armagnac,16899,3310,22,,Armagnac
112161,Les Grands Chais de France,On Line,Spirits,10193744,Prince d'Arignac Armagnac VS,Les Grands Chais de France,Silver,,Armagnac - Bas Armagnac - VS,,40,France,213782,10193725,15a(i),Armagnac,17194,3385,22,,Armagnac
105194,Château de Lacquy,On Line,Spirits,10197538,Château de Lacquy Bas Armagnac 12 ans,Château de Lacquy,Silver,,Armagnac - Bas Armagnac - 12 - 15 YO,,40.5,France,205523,10092794,15b(i),Armagnac,17732,3505,22,,Armagnac
105194,Château de Lacquy,On Line,Spirits,10197539,Château de Lacquy Bas Armagnac  1997,Château de Lacquy,Bronze,,Armagnac - Bas Armagnac - Vintage 1998 - 1995,,47,France,205523,10092794,15d(i),Armagnac,17727,3505,22,,Armagnac
105221,Chateau de Sandemagnan,On Line,Spirits,10206379,Armagnac Hors d'Age ,Chateau de Sandemagnan,Silver,,Armagnac - Bas Armagnac - Hors d'Age,,42,France,205551,10206376,15c(i),Armagnac,19028,3836,22,,Armagnac
105221,Chateau de Sandemagnan,On Line,Spirits,10206381,Armagnac VSOP ,Chateau de Sandemagnan,Bronze,,Armagnac - Bas Armagnac - VSOP,,40.5,France,205551,10206376,15b(i),Armagnac,19026,3836,22,,Armagnac
119769,Waitrose Ltd,On Line,Spirits,10206399,Waitrose Armagnac VSOP,Waitrose Ltd,Silver,,Armagnac - VSOP,,40,France,222000,524972,19b(iv),Cognac,19314,3961,22,,Armagnac
10206638,Maison Léda,On Line,Spirits,10206643,Laubade 1998 Vintage,Chateau de Laubade,Silver,,Armagnac - Bas Armagnac - Vintage 1998 - 1995,,40,France,10206639,10206640,15d(i),Armagnac,19124,3839,22,,Armagnac
10206638,Maison Léda,On Line,Spirits,10206644,Château de Laubade 1992 Cask Strength Vintage,Chateau de Laubade,Silver Outstanding,,Armagnac - Bas Armagnac - 1992 - Cask Strength 50%,,50.8,France,10206639,10206640,15d(i),Armagnac,19132,3839,22,,Armagnac
116468,Schlumberger Wein- und Sektkellerei GMBH,On Line,Spirits,10191814,Leibwächter,Schlumberger Wein- und Sektkellerei GMBH,Silver Outstanding,,Bitters - Digestive (Potable) - 11-44%,,12.29,Austria,218417,10191811,17a,Bitters,16265,3207,22,,Bitters
116618,Semper Idem Underberg GmbH,On Line,Spirits,10167905,Underberg Do Brasil,Semper Idem Underberg GmbH,Silver,,Bitters - Digestive (Potable) - 11-44%,,42,Brazil,218575,10093403,17a,Bitters,11707,2416,22,,Bitters
