ABS Wine Agencies,Jordan Wine Estate Black Magic Merlot 2014,Jordan Wine Estate,Bronze,Red,Merlot - WO Stellenbosch - 2015-2014,South Africa
Accolade Wines,Kumala Reserve Shiraz 2016,Accolade Wines,Bronze,White,Shiraz/Shiraz dominated blends - WO Swartland - 2016-2014,South Africa
Accolade Wines,Flagstone Longitude Shiraz Cabernet Sauvignon Malbec 2015,Accolade Wines,Bronze,Red,Blended Red - Shiraz dominated - WO Western Cape - 2015,South Africa
Accolade Wines,Flagstone Noon Gun Chenin Blanc Sauvignon Blanc Viognier 2016,Accolade Wines,Bronze,White,Chenin Blanc Dominated Blends - WO Western Cape - 2016,South Africa
Accolade Wines,Kumala Reserve Chenin Blanc 2016,Accolade Wines,Bronze,White,Chenin Blanc - WO Swartland & Wards - 2016-2015,South Africa
Accolade Wines,Kumala Reserve Malbec 2016,Accolade Wines,Bronze,Red,Malbec - WO Western Cape - 2016-2015,South Africa
Beau Constantia Wines,Beau Constantia Lucca 2014,Beau Constantia Wines,Bronze,Red,Merlot/Merlot Dominated Blends - WO Constantia - 2015-2013,South Africa
Boutinot Wines Ltd,Tiger Horse Old Vine Cinsault 2016,Boutinot,Bronze,Red,Cinsault - WO Western Cape - 2016,South Africa
Boutinot Wines Ltd,Tiger Horse Chenin Blanc Pinot Grigio 2016,Boutinot,Bronze,White,Chenin Blanc Dominated Blends - WO Western Cape - 2016,South Africa
Broadland Wineries Ltd,Cawston Cove Chardonnay 2016,Broadland Wineries Ltd,Bronze,White,Chardonnay - WO Western Cape - 2016,South Africa
Broadland Wineries Ltd,Cawston Cove Chenin Blanc 2016,Broadland Wineries Ltd,Bronze,White,Chenin Blanc - WO Western Cape - 2016,South Africa
Aldi Stores Ltd,Leaf Plucker Sauvignon Blanc 2017,Sauvignon Wines CC,Bronze,White,Sauvignon Blanc - WO Western Cape - 2017-2015,South Africa
De Morgenzon,DeMorgenzon Reserve Syrah 2014,De Morgenzon,Bronze,Red,Shiraz - W O Stellenbosch - 2016-2012,South Africa
De Wetshof Estate,De Wetshof Estate Lesca Chardonnay 2016,De Wetshof Estate,Bronze,White,Chardonnay - WO Robertson - 2016-2014,South Africa
De Wetshof Estate,De Wetshof Estate Nature in Concert Pinot Noir 2012,De Wetshof Estate,Bronze,Red,Pinot Noir - WO Robertson - 2012,South Africa
DGB ( Pty) Ltd,Boschendal 1685 Merlot 2015,DGB ( Pty) Ltd,Bronze,Red,Merlot/Merlot Dominated - WO Western Cape - 2016-2014,South Africa
Distell Ltd,Two Oceans Sauvignon Blanc 2017,Distell Ltd,Bronze,White,Sauvignon Blanc - W O Western Cape - 2017,South Africa
Distell Ltd,Durbanville Hills Rhinofields Merlot 2014,Distell Ltd,Bronze,Red,Merlot/Merlot Dominated Blends - WO Durbanville - 2015-2014,South Africa
Distell Ltd,Durbanville Hills Atlantic View Cabernet Sauvignon 2016,Distell Ltd,Bronze,Red,Cabernet Sauvignon/Cabernet Sauvignon Blends - WO Durbanville - 2016-2013,South Africa
Distell Ltd,Two Oceans Pinot Grigio 2017,Distell Ltd,Bronze,White,Pinot Grigio - Regions of South Africa - 2017,South Africa
Distell Ltd,Drostdy Hof Adelpracht NV,Distell Ltd,Bronze,White,Sweet - Muscat - WO Western Cape,South Africa
Graham Beck Wines,Graham Beck Brut NV,Graham Beck Wines,Bronze,White,Bottle Fermented Sparkling - Blanc de Blanc - Chardonnay - Brut - WO Robertson - NV,South Africa
International Procurement & Logistics Ltd,Southern Point Sauvignon Blanc 2017,International Procurement & Logistics Ltd,Bronze,White,Sauvignon Blanc - WO Western Cape - 2017-2015,South Africa
International Procurement & Logistics Ltd,Southern Point Chardonnay Pinot Grigio 2017,International Procurement & Logistics Ltd,Bronze,White,Chardonnay/Pinot Grigio - WO Western Cape - 2017,South Africa
International Procurement & Logistics Ltd,Asda Extra Special Sauvignon Blanc 2017,International Procurement & Logistics Ltd,Bronze,White,Sauvignon Blanc - WO Western Cape - 2017-2015,South Africa
International Procurement & Logistics Ltd,Southern Point Reserve Viognier 2015,International Procurement & Logistics Ltd,Bronze,White,Viognier - WO Western Cape - 2016-2015,South Africa
International Procurement & Logistics Ltd,Yellowwood Mountain Chenin Blanc 2016,International Procurement & Logistics Ltd,Bronze,White,Chenin Blanc - WO Western Cape - 2016,South Africa
