Product name,Category Reference,Country,Region,Age,Alcohol %,Company,Producer Name,SampleNumber,Award,TastingCategory,spirit type
Stonecutter Spirits Single Barrel Gin,22e,USA,East Coast,,45,Stonecutter Spirits,Stonecutter Spirits,5482,Gold,Gin - Cask Finished - 41-48%,Gin
KINOBI Kyoto Dry Gin,22c,Japan,Kyoto,,45.7,K.K. Number One Drinks (The Kyoto Distillery),K.K. Number One Drinks (The Kyoto Distillery),922,Gold,Gin - Contemporary Styles - Japan - 45.7%,Gin
Teeling Whiskey Single Malt Irish Whiskey,30e,Republic of Ireland,,,46,Teeling Whiskey Company,Teeling Whiskey Company,5608,Gold,Irish Whiskey - Single Malt - No Age Stated,Irish Whiskey
Harrington Dry Gin,22a,England,Midlands,,44,Warner Edwards Distillery Ltd,Warner Edwards Distillery Ltd,7012,Gold,Gin - London Dry - 44-45%,Gin
Glenglassaugh Highland Scotch Whisky 40 YO,31e,Scotland,Highland,40,42.5,The BenRiach Distillery Company Ltd,The BenRiach Distillery Company Ltd,6707,Gold Outstanding,Whisky - Scotch - Single Malt - Highland - 35-40 YO,Whisky
Bauer's ZirbenZauber,34d,Austria,Styria,,35,Franz Bauer GmbH,Franz Bauer GmbH,5315,Gold,Flavoured Spirit - Pine Cone,Flavoured Spirit
Grasovka Vodka,28 (c),Poland,,,40,Semper Idem Underberg GmbH,Semper Idem Underberg GmbH,5424,Gold,Vodka - Flavoured - Bison Grass,Vodka
The BenRiach Single Malt Scotch Whisky 35 YO,31e,Scotland,Highland,35,42.5,The BenRiach Distillery Company Ltd,The BenRiach Distillery Company Ltd,6710,Gold,Whisky - Scotch - Single Malt - Highland - 35-40 YO,Whisky
Glenglassaugh Highland Single Malt Scotch Whisky 30 YO,31e,Scotland,Highland,,42,The BenRiach Distillery Company Ltd,The BenRiach Distillery Company Ltd,6714,Gold,Whisky - Scotch - Single Malt - Highland - 24-30 YO,Whisky
The GlenDronach Original Single Malt Scotch Whisky 12YO,31e,Scotland,Highland,12,43,The BenRiach Distillery Company Ltd,The BenRiach Distillery Company Ltd,6722,Gold,Whisky - Scotch - Single Malt - Highland - 12-13YO,Whisky
"Balblair Vintage 1999 1st Release, Travel Retail Exclusive Single Malt Scotch Whisky",31e,Scotland,Highland,15,46,International Beverage,International Beverage,5868,Gold,Whisky - Scotch - Single Malt - Highland - 17-18 YO,Whisky
Balblair Vintage 1990 Single Malt Scotch Whisky,31e,Scotland,Highland,21,46,International Beverage,International Beverage,5885,Gold,Whisky - Scotch - Single Malt - Highland - Cask Strength,Whisky
anCnoc 12 Year Old Single Malt Scotch Whisky,31e,Scotland,Highland,12,40,International Beverage,International Beverage,5881,Gold,Whisky - Scotch - Single Malt - Highland - 12-13YO,Whisky
Speyburn Arranta Casks Single Malt Scotch Whisky,31e,Scotland,Speyside,,46,International Beverage,International Beverage,5879,Gold,Whisky Scotch - Single Malt - Speyside - No Age Stated,Whisky Scotch
Voga Vodka,28a,Italy,Piedmonte/Piemonte ,,40,Enoitalia Spa,Enoitalia Spa,6618,Gold,Vodka - Neutral - Europe - 40%,Vodka
Aka Kirishima,26d,Japan,Miyazaki,,25,Nord Trade Counsel,Nord Trade Counsel,944,Gold,Shochu - Sweet Potato - Japan - 25%,Shochu
Dolce by Cello Mango,23j,Australia,New South Wales,,16,Cece Liqueur Pty Ltd,Cece Liqueur Pty Ltd,5123,Gold Outstanding,Liqueurs - Mango,Liqueurs
KWV Heritage XO Cognac,19d(iv),France,Cognac,,40,Warshay Investment (Pty) Ltd ta KWV,Warshay Investment (Pty) Ltd ta KWV,286,Gold,Cognac - XO,Cognac
Louis Royer Cognac XO,19c(i),France,Cognac,,40,Louis Royer SAS,Louis Royer SAS,2952,Gold,Cognac - XO,Cognac
KWV 12,21d,South Africa,,,38,Warshay Investment (Pty) Ltd ta KWV,Warshay Investment (Pty) Ltd ta KWV,290,Gold,Grape Brandy - South Africa - Pot Still - 8-12 YO,Grape Brandy
Mozart Chocolate Cream,23c,Austria,,,17,Schlumberger Wein- und Sektkellerei GMBH,Schlumberger Wein- und Sektkellerei GMBH,5457,Gold Outstanding,Liqueurs - Chocolate,Liqueurs
KWV 15 Potstill Brandy,21d,South Africa,Western Cape,,38,Warshay Investment (Pty) Ltd ta KWV,Warshay Investment (Pty) Ltd ta KWV,291,Gold Outstanding,Grape Brandy - South Africa - Pot Still - 15-20 YO,Grape Brandy
0.75L-58% Kinmen Kaoliang Liquor,35a,Taiwan,,,58,Kinmen Kaoliang Liquor Inc.,Kinmen Kaoliang Liquor Inc.,6577,Gold,Kaoliang Liquor (Baiju) - China - 58 - 66%,Kaoliang Liquor (Baiju)
KWV 20 Potstill Brandy,21d,South Africa,Western Cape,,38,Warshay Investment (Pty) Ltd ta KWV,Warshay Investment (Pty) Ltd ta KWV,292,Gold,Grape Brandy - South Africa - Pot Still - 15-20 YO,Grape Brandy
Original Distilled No. 21 Kinmen Kaoliang Liquor,35a,Taiwan,,,58,Kinmen Kaoliang Liquor Inc.,Kinmen Kaoliang Liquor Inc.,6581,Gold,Kaoliang Liquor (Baiju) - China - 58 - 66%,Kaoliang Liquor (Baiju)
XOP Garnheath 42 YO,31c ,Scotland,,,44.5,Douglas Laing & Co Ltd,Douglas Laing & Co Ltd,74,Gold,Whisky - Scotch - Single Grain - 42-43YO,Whisky
Calvados Domfrontais Louis de Lauriston Hors d'Age,18d(ii),France,Calvados,,42,Calvados Christian Drouin SAS,Les Chais Du Verger Normand,5112,Gold,Calvados - Domfrontais - Hors d'Age - 1991,Calvados
Cotswolds Dry Gin,22a,England,,,46,The Cotswold Distilling Company Ltd.,The Cotswold Distilling Company Ltd.,6866,Gold Outstanding,Gin - London Dry - 46-48%,Gin
Jaime I,21d,Spain,Catalunya,,38,Miguel Torres SA,Miguel Torres SA,1886,Gold,Grape Brandy - Brandy del Penedes,Grape Brandy
Torres 20,21d,Spain,Catalunya,,40,Miguel Torres SA,Miguel Torres SA,1885,Gold,Grape Brandy - Brandy del Penedes,Grape Brandy
Manchester Gin,22c,England,Midlands & North,,42,Drinks Of Manchester Ltd T/a Manchester Gin,Drinks Of Manchester Ltd T/a Manchester Gin,5473,Gold,Gin - Contemporary Styles - England - 39-46%,Gin
