company,Product,producer,award,colour,category,region,tasting,,,,,,,,,,,,,,,,,,
Kanonkop Wine Estate,Kanonkop Black Label Pinotage 2013,Kanonkop Wine Estate,Gold,Red,Pinotage - WO Simonberg-Stellenbosch - 2014-2012,South Africa,"Dense youthful looking purple ruby colour with an enticing perfumed nose packed with summer fruit compote and flowers. Very elegant palate with fine youthful tannins, silky body and an opulent texture. Finish is supremely balanced, long and generous. Drinking wonderfully now, but set for a long life due to a firm structure and backbone of acidity. ",,,,,,,,,,,,,,,,,,
Kanonkop Wine Estate,Kanonkop Pinotage 2009,Kanonkop Wine Estate,Gold,Red,Pinotage - WO Simonberg-Stellenbosch - 2011-2009,South Africa,"Evolved ruby garnet, with a beautiful complex nose packed with blueberry and mulberry overlaid with spicy complexity from tertiary earth and tobacco. Rich and powerful, yet supremely elegant . Lovely palate , with fruit, oak and alcohol beautifully integrated all leading to a very long senseous finish. Very concentrated , drinkiing perfectly now and with structure and backbone to continue over many years.   ",,,,,,,,,,,,,,,,,,
Rhebokskloof Wine Estate ,Vineyard Selection Pinotage 2015,Rhebokskloof Wine Estate ,Gold,Red,Pinotage - WO Paarl - 2015-2014,South Africa,,,,,,,,,,,,,,,,,,,
Windmeul Koop Wynkelder Bpk,Windmeul Pinotage Reserve 2015,Windmeul Koop Wynkelder Bpk,Gold,Red,Pinotage - WO Paarl - 2015-2014,South Africa,,,,,,,,,,,,,,,,,,,
Spier Wines,Spier 21 Gables Pinotage 2014,Spier Wines,Gold Outstanding,Red,Pinotage - WO Stellenbosch - 2016-2014,South Africa,"Big and bold packed with loads of dark berry fruit, intense with muscular supple tannins, strapping structure. The unflagging finish features a hint of earthy truffle. Powerful and made for aging and grilled meats.",,,,,,,,,,,,,,,,,,
Diemersfontein Wines,Carpe Diem Pinotage 2015,Diemersfontein Wines,Gold,Red,Pinotage - WO Wellington - 2017-2014,South Africa,"Dark black berries and bright ripe plums wrapped in a cloak of rich vanilla oak. Great tannin structure and balance, lovely grip on the finish. Built to last.",,,,,,,,,,,,,,,,,,
Distell Ltd,Zonnebloem Pinotage 2015,Distell Ltd,Gold,Red,Pinotage - WO Stellenbosch - 2016-2014,South Africa,Concentrated and intense red berry fruit is in perfect harmony with firm vanilla oak flavours. Great depth and layers of berry and spice flavours that linger and unfold as time passes. Classic pinotage that will give joy for years to come.,,,,,,,,,,,,,,,,,,
Distell Ltd,Nederburg Private Bin Edelkeur 2012,Nederburg Wines (Pty) Ltd,Gold,White,Noble Late Harvest - Chenin Blanc - WO Western Cape - 2013-2012,South Africa,"Light orange marmalade, honey and roasted almond flavours combine to serve a perfect drop of heaven: full-bodied, mouth-filling elegant with a smooth clean finish. Age for future enjoyment.",,,,,,,,,,,,,,,,,,
Perdeberg Wines (Pty) Ltd,The Dry Land Collection Longevity Natural Sweet Chenin Blanc 2016,Perdeberg Wines (Pty) Ltd,Gold,White,Sweet - Chenin Blanc - Coastal Region - 2016,South Africa,"Grand and impressive with great depth. Sweetness showing through in the first sip with melon and honey flavours. The wine goes on and on, with a wonderful mouthfeel.",,,,,,,,,,,,,,,,,,
StellenRust Wines,Stellenrust 52 Barrel fermented Chenin Blanc (Stellenbosch Manor) 2016,StellenRust Wines,Gold,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa,"Gold with rich complex nose packed with tropical fruit and intense vanilla spice from the classy oak . Dry with a lovely fruit richness, silky texture, beautifully balanced with crisp apple acidity and underlying savoury notes all adding layers to the long finish. Delicious!",,,,,,,,,,,,,,,,,,
StellenRust Wines,Stellenrust Old Bushvine Chenin blanc 2016,StellenRust Wines,Gold,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa,"Golden colour. Reined in, complex and intense aromas of savoury brioche, perfumed nectarines and vanilla custard. All elements of the palate, oak, fruit and lees are extremely well integrated. A richly textured satisfying wine, shot through with rapier acidity which sustains the seamless finish. Benchmark South African Chenin Blanc.",,,,,,,,,,,,,,,,,,
Distell Ltd,Nederburg Private Bin Edelkeur 2013,Nederburg Wines (Pty) Ltd,Gold Outstanding,White,Noble Late Harvest - Chenin Blanc - WO Western Cape - 2013-2012,South Africa,"A Cape Classic! Chenin Blanc at its best with rich marmalade, roasted nuts and soft dried apricots. The palate is viscose, but so elegant, rounded and just seamless as the acidity is perfectly judged for an unflagging fresh spice finish. Terrific aging potential.",,,,,,,,,,,,,,,,,,
Bergsig Estate,Bergsig Chenin Blanc Reserve 2015,Bergsig Estate,Silver Outstanding,White,Chenin Blanc - WO Breedekloof - 2016- 2015,South Africa,"Tropical fruit, baked apple, vanilla oak and exotic spice flavours on bold expression of the variety. Broad and complex with balanced smooth acidity and savoury finish.",,,,,,,,,,,,,,,,,,
De Morgenzon,DeMorgenzon Reserve Chenin Blanc 2016,De Morgenzon,Silver Outstanding,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa,"Limpid gold, packed with concentrated apple compote and a whiff of tobacco and honey overlaid with nuts. Rich ripe palate shot through with razor acidity. Wood tannins add firmness and structure to this extremely balanced wine.",,,,,,,,,,,,,,,,,,
Distell Ltd,Fleur Du Cap Unfiltered Chenin Blanc 2016,Distell Ltd,Silver Outstanding,White,Chenin Blanc - WO Coastal Regions - 2017-2015,South Africa,,,,,,,,,,,,,,,,,,,
Distell Ltd,Nederburg Private Bin Edelkeur 2005,Nederburg Wines (Pty) Ltd,Silver Outstanding,White,Noble Late Harvest - Chenin Blanc - 2009-2005,South Africa,"Mid brown copper colour, caramel, raisin, and dried prunes, nutty apricots fill the mouth dancing with layers on the tongue, what a charming old lady.",,,,,,,,,,,,,,,,,,
Distell Ltd,Nederburg Heritage Heroes The Anchorman Chenin Blanc 2016,Nederburg Wines (Pty) Ltd,Silver Outstanding,White,Chenin Blanc - WO Western Cape - 2017-2015,South Africa,"Quince, warm honey, ripe red apple and spice flavours on complex mouthfeel. Full-bodied, creamy and long - made to age.",,,,,,,,,,,,,,,,,,
Ken Forrester Wines,The Forrester Meinert Chenin 2015,Ken Forrester Wines,Silver Outstanding,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa,"With pronounced apple blossom with a whiff of liquorice allsorts and a nutty savoury character. Enlivened by vibrant acidity, which is balanced and supported by great fruit concentration. A very well crafted wine with generous use of new vanilla spiced oak.",,,,,,,,,,,,,,,,,,
Warshay Investment (Pty) Ltd ta KWV,KWV The Mentors Chenin Blanc 2015,Warshay Investment (Pty) Ltd ta KWV,Silver Outstanding,White,Chenin Blanc - W O Paarl - 2016-2014,South Africa,,,,,,,,,,,,,,,,,,,
Off-Piste Wines Ltd,Morrison's The Best Chenin Blanc 2016,Riebeek Cellars,Silver Outstanding,White,Chenin Blanc - WO Swartland & Wards - 2016-2015,South Africa,"Attractive honeysuckle & bees wax nose. Broad, generous & layered palate with crisp red apple acidity balancing polished wax texture. Long savoury finish.",,,,,,,,,,,,,,,,,,
Simonsig Wine Estate.,Simonsig Chenin Avec Chêne 2016,Simonsig Wine Estate.,Silver Outstanding,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa,"Enticing and powerful smoky nose which leads to a palate packed with tropical fruit. The oak adds structure and is extremely well managed, allowing the fruit centre stage. The high acidity is well integrated with the rich body. Long finish.",,,,,,,,,,,,,,,,,,
Spier Wines,Spier 21 Gables Chenin Blanc 2015,Spier Wines,Silver Outstanding,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa,"Golden hue. Nose is packed with marzipan and Christmas cake icing. Strong underlying savoury note, baked up with Galia melon and ripe pear. Charming rich full palate gives a silky mouth feel. Backed up with creamy oak and a lovely twist of acidity on the finish.",,,,,,,,,,,,,,,,,,
StellenRust Wines,Stellenrust Chenin Blanc (Stellenbosch Manor) 2017,StellenRust Wines,Silver Outstanding,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa,"Vibrant youthful lemon green colour bursting with primary tree pear fruits. Vigorous acidity and fruit purity define the palate. Balanced, delicious and pleasing rather than complex. A lively very enjoyable wine.",,,,,,,,,,,,,,,,,,
StellenRust Wines,Stellenrust 51 Barrel fermented Chenin Blanc 2015,StellenRust Wines,Silver Outstanding,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa,"Limpid gold, showing tertiary petrol notes with hints of candied lemon curd on buttered croissants. Palate is taut with zesty acidity. Great concentration of flavours; the oak is seamlessly integrated into the rich satin body. Finish is elegant and very persistent. Fabulous now and with the structure to develop further complexity.",,,,,,,,,,,,,,,,,,
